id,name,doro,old-doro,man_dae,man_so,man2_dae,man2_so,woman,woman2,latitude,longitude
53,삼정식당,강원도 삼척시 새천년도로 30,강원도 삼척시 정하동 187-15,1,1,0,0,1,0,37.43654325,129.186071
54,삼척항 공동화장실1(수협창고앞),강원도 삼척시 이사부길 36,강원도 삼척시 정하동 41-186,1,3,1,1,3,1,37.43835894,129.1925827
55,오십천주유소(공원주유소),강원도 삼척시 오십천로 566(정상동),강원도 삼척시 정상동 243-2,2,2,0,0,2,0,37.43371985,129.1777922
56,우성주유소,강원도 삼척시 동해대로 4088 (정상동),강원도 삼척시 정상동 350-3,2,2,0,0,2,0,37.44569877,129.1788403
57,육향식당(구향토),강원도 삼척시 새천년도로 32,강원도 삼척시 정하동 187-14,1,1,0,0,1,0,37.43669235,129.1862117
58,이사부광장 화장실,,강원도 삼척시 정하동 41-282,1,2,0,0,3,0,37.44031123,129.1924412
59,장미공원(정문),강원도 삼척시 오십천로 586,강원도 삼척시 정상동 440,3,7,1,1,5,1,37.4323327,129.1796697
60,장미공원(중앙),,강원도 삼척시 정상동 412,2,2,0,0,2,0,37.43429123,129.1750212
61,장미공원(후문),,강원도 삼척시 정상동 397-9,3,7,1,1,5,1,37.43714123,129.1707812
62,정라동사무소,강원도 삼척시 새천년도로 16,강원도 삼척시 정상동 79,1,1,0,0,2,0,37.43597582,129.1844046
63,정라항 어민복지 A,강원도 삼척시 삼척항길 152,강원도 삼척시 정하동 48-19,1,2,1,1,2,1,37.43435443,129.1883749
64,정라항 어민복지 B,강원도 삼척시 삼척항길 152,강원도 삼척시 정하동 48-19,1,2,1,1,2,1,37.43435443,129.1883749
65,정라항 활어센터(해원상가),강원도 삼척시 정라항길 11-48,강원도 삼척시 정하동 41-18,1,1,0,0,1,0,37.43852843,129.1916727
66,㈜삼척현대주유소,강원도 삼척시 영진서길 58 (정상동),강원도 삼척시 정상동 289-2,2,1,0,0,2,0,37.43944241,129.1800125
67,죽서루 화장실,,강원도 삼척시 성내동 9-3,1,4,1,1,2,1,37.44075123,129.1607112
68,추모공원(1단지 봉안당),강원도 삼척시 강원남부로 4541,강원도 삼척시 등봉동 318-6,1,3,0,0,2,0,37.45657006,129.1161669
69,추모공원(1단지 사무실),강원도 삼척시 강원남부로 4541,강원도 삼척시 등봉동 318-6,3,3,0,0,7,0,37.45657006,129.1161669
70,추모공원(2단지 사무동),강원도 삼척시 강원남부로 4540,강원도 삼척시 등봉동 산 100,3,3,0,0,7,0,37.45941114,129.1185854
71,추모공원(2단지A동),강원도 삼척시 강원남부로 4540,강원도 삼척시 등봉동 산 100,3,3,1,0,6,1,37.45941114,129.1185854
72,추모공원(2단지B동),강원도 삼척시 강원남부로 4540,강원도 삼척시 등봉동 산 100,3,3,1,0,6,1,37.45941114,129.1185854
73,현대자동차(당저동),강원도 삼척시 진주로 53,강원도 삼척시 당저동 141-2,1,2,0,0,2,0,37.44557911,129.1636327
74,SK삼척주유소,강원도 삼척시 동해대로 4323 (마달동),강원도 삼척시 마달동 44-1,1,1,0,0,1,0,37.45760021,129.1611695
75,SK삼척충전소,강원도 삼척시 마달길 4(마달동),강원도 삼척시 마달동 13-1,1,1,0,0,1,0,37.45922892,129.1575534
76,교동사무소,강원도 삼척시 대학로 88-14,강원도 삼척시 교동 657-1,1,2,1,0,1,1,37.44792598,129.1646069
77,삼척농협가스충전소,강원도 삼척시 동해대로 4298 (갈천동),강원도 삼척시 갈천동 81-1,1,1,0,0,1,0,37.45743705,129.1651799
78,삼척농협주유소,강원도 삼척시 동해대로 4298 (갈천동),강원도 삼척시 갈천동 81-5,1,1,0,0,1,0,37.45743705,129.1651799
79,삼척시의회,강원도 삼척시 대학로 81(교동),강원도 삼척시 교동 695,6,10,1,0,5,1,37.44870032,129.1616368
80,삼척시청 별관,강원도 삼척시 월계안1길 19-12 (교동),강원도 삼척시 교동 666,3,4,1,0,3,1,37.44857768,129.1623282
81,삼척시청 본관,"강원도 삼척시 중앙로 296 (교동,삼척시청)",강원도 삼척시 교동 592,3,4,1,0,4,1,37.4498871,129.1656257
82,삼척종합운동장,강원도 삼척시 동해대로 4234 (교동),강원도 삼척시 교동 254,2,3,1,0,5,1,37.45645804,129.1720971
83,삼척체육관,강원도 삼척시 동해대로 4234 (교동),강원도 삼척시 교동 240-5,6,10,1,0,8,1,37.45645804,129.1720971
84,삼척해변역 관광안내소,강원도 삼척시 수로부인길 542 (갈천동),강원도 삼척시 갈천동 산3-3,1,2,0,0,2,0,37.4683283,129.166292
85,삼척해수욕장 입구,,강원도 삼척시 갈천동 17-1,3,3,1,1,6,1,37.46621111,129.1706411
86,삼척해수욕장 중간,강원도 삼척시 테마타운길 63,강원도 삼척시 갈천동 14-9,5,6,1,1,11,1,37.46714999,129.1688822
87,삼척해수욕장 출구,강원도 삼척시 테마타운길 108(갈천동),강원도 삼척시 갈천동 14-5,3,4,1,0,5,1,37.46888667,129.1677433
88,소망의탑,강원도 삼척시 새천년도로 233 (교동),강원도 삼척시 교동 산80-1,1,2,0,1,2,1,37.45083524,129.1884041
89,알파에쓰오일 삼척주유소㈜,강원도 삼척시 동해대로 4190 (교동),강원도 삼척시 교동 98-1,1,1,0,0,1,0,37.45421278,129.1762226
90,이사부사자공원 야외화장실,강원도 삼척시 수로부인길 333(증산동),강원도 삼척시 증산동 1,2,5,1,1,5,1,37.47555691,129.1595485
91,남양주유소,강원도 삼척시 오십천로 457 (남양동),강원도 삼척시 남양동 334-10,1,1,0,0,1,0,37.4398409,129.1683694
92,동부고속,강원도 삼척시 중앙로 192(남양동),강원도 삼척시 남양동 334-1,2,3,0,0,4,1,37.44044451,129.1679992
93,미호회관,강원도 삼척시 남양길 31,강원도 삼척시 남양동 337-11,1,2,0,0,1,0,37.44239494,129.1695543
94,번개시장공중화장실,강원도 삼척시 중앙로 16,강원도 삼척시 사직동 60-12,2,2,1,0,3,1,37.43090496,129.1779101
95,삼원빌딩,강원도 삼척시 중앙로 185,강원도 삼척시 남양동 94-10,1,3,0,0,3,0,37.44002585,129.1673675
96,삼척버스종합터미널,강원도 삼척시 봉황로 9-22 (남양동),강원도 삼척시 남양동 341,2,3,1,0,1,1,37.44010818,129.1687377
